iter	Passed	Remaining
413	3263	4619
414	3271	4611
415	3278	4602
416	3286	4594
417	3294	4586
418	3301	4578
419	3309	4569
420	3317	4561
421	3324	4553
422	3332	4545
423	3339	4537
424	3347	4528
425	3355	4520
426	3362	4512
427	3369	4503
428	3377	4495
429	3385	4487
430	3392	4478
431	3399	4470
432	3407	4461
433	3415	4453
434	3422	4445
435	3430	4437
436	3437	4428
437	3445	4420
438	3452	4412
439	3460	4403
440	3468	4396
441	3475	4387
442	3482	4379
443	3490	4370
444	3498	4362
445	3505	4353
446	3512	4346
447	3520	4337
448	3527	4329
449	3535	4320
450	3543	4313
451	3550	4304
452	3557	4295
453	3565	4288
454	3573	4280
455	3580	4272
456	3588	4263
457	3595	4255
458	3603	4246
459	3610	4238
460	3618	4230
461	3625	4221
462	3633	4213
463	3640	4205
464	3648	4197
465	3655	4188
466	3663	4181
467	3670	4172
468	3678	4165
469	3686	4156
470	3693	4148
471	3701	4140
472	3708	4132
473	3716	4124
474	3723	4115
475	3731	4107
476	3738	4099
477	3746	4091
478	3753	4082
479	3761	4074
480	3768	4066
481	3777	4059
482	3784	4051
483	3792	4042
484	3799	4034
485	3806	4026
486	3814	4017
487	3821	4009
488	3829	4001
489	3836	3992
490	3844	3985
491	3851	3976
492	3859	3969
493	3866	3960
494	3874	3952
495	3881	3944
496	3889	3936
497	3897	3928
498	3904	3920
499	3911	3911
500	3919	3903
501	3926	3895
502	3933	3886
503	3941	3879
504	3948	3870
505	3956	3862
506	3964	3854
507	3971	3846
508	3979	3838
509	3986	3830
510	3994	3822
511	4002	3814
512	4009	3806
513	4017	3798
514	4025	3790
515	4032	3782
516	4040	3774
517	4047	3766
518	4055	3758
519	4063	3750
520	4071	3743
521	4079	3735
522	4087	3727
523	4095	3720
524	4102	3712
525	4111	3704
526	4119	3696
527	4127	3689
528	4135	3681
529	4143	3674
530	4150	3665
531	4157	3657
532	4164	3649
533	4172	3641
534	4179	3633
535	4187	3625
536	4195	3616
537	4202	3608
538	4210	3600
539	4217	3592
540	4225	3584
541	4232	3576
542	4240	3568
543	4247	3560
544	4255	3552
545	4262	3544
546	4270	3536
547	4277	3528
548	4285	3520
549	4293	3512
550	4300	3504
551	4308	3496
552	4315	3488
553	4323	3480
554	4330	3472
555	4338	3464
556	4345	3456
557	4353	3448
558	4360	3440
559	4368	3432
560	4375	3424
561	4382	3415
562	4390	3408
563	4398	3400
564	4406	3392
565	4413	3384
566	4421	3376
567	4429	3368
568	4436	3360
569	4444	3352
570	4451	3344
571	4459	3336
572	4466	3328
573	4474	3320
574	4481	3312
575	4489	3304
576	4496	3296
577	4504	3288
578	4511	3280
579	4519	3272
580	4526	3264
581	4534	3256
582	4542	3249
583	4550	3241
584	4557	3233
585	4565	3225
586	4572	3217
587	4580	3209
588	4587	3201
589	4595	3193
590	4602	3185
591	4610	3177
592	4617	3169
593	4625	3161
594	4633	3153
595	4641	3145
596	4648	3138
597	4656	3130
598	4663	3122
599	4671	3114
600	4679	3106
601	4686	3098
602	4694	3090
603	4702	3082
604	4709	3074
605	4716	3066
606	4724	3058
607	4732	3051
608	4739	3043
609	4747	3035
610	4755	3027
611	4763	3019
612	4770	3011
613	4778	3003
614	4785	2996
615	4793	2988
616	4800	2980
617	4808	2972
618	4815	2964
619	4823	2956
620	4831	2948
621	4838	2940
622	4846	2932
623	4853	2924
624	4861	2916
625	4868	2908
626	4876	2900
627	4883	2892
628	4891	2884
629	4898	2877
630	4906	2868
631	4913	2861
632	4920	2853
633	4928	2845
634	4935	2837
635	4943	2829
636	4951	2821
637	4958	2813
638	4966	2805
639	4973	2797
640	4981	2789
641	4988	2781
642	4996	2773
643	5003	2765
644	5010	2757
645	5018	2749
646	5025	2741
647	5033	2734
648	5040	2726
649	5048	2718
650	5056	2710
651	5064	2703
652	5072	2695
653	5081	2688
654	5089	2680
655	5097	2673
656	5105	2665
657	5113	2657
658	5121	2649
659	5129	2642
660	5136	2634
661	5144	2626
662	5151	2618
663	5159	2610
664	5166	2602
665	5173	2594
666	5181	2586
667	5189	2578
668	5196	2571
669	5204	2563
670	5211	2555
671	5218	2547
672	5226	2539
673	5233	2531
674	5240	2523
675	5248	2515
676	5255	2507
677	5263	2499
678	5270	2491
679	5278	2484
680	5286	2476
681	5293	2468
682	5300	2460
683	5308	2452
684	5315	2444
685	5323	2436
686	5330	2428
687	5338	2420
688	5345	2412
689	5353	2405
690	5361	2397
691	5368	2389
692	5376	2381
693	5384	2373
694	5391	2366
695	5399	2358
696	5407	2350
697	5414	2342
698	5421	2334
699	5429	2326
700	5436	2318
701	5443	2310
702	5450	2302
703	5459	2295
704	5466	2287
705	5474	2279
706	5481	2271
707	5489	2263
708	5496	2256
709	5504	2248
710	5512	2240
711	5519	2232
712	5527	2224
713	5535	2217
714	5542	2209
715	5549	2201
716	5557	2193
717	5564	2185
718	5572	2177
719	5579	2169
720	5586	2161
721	5594	2154
722	5601	2146
723	5609	2138
724	5617	2130
725	5624	2122
726	5632	2114
727	5639	2107
728	5646	2099
729	5654	2091
730	5662	2083
731	5669	2075
732	5677	2068
733	5684	2060
734	5692	2052
735	5700	2044
736	5708	2036
737	5715	2029
738	5723	2021
739	5730	2013
740	5738	2005
741	5745	1997
742	5753	1990
743	5761	1982
744	5768	1974
745	5776	1966
746	5783	1958
747	5791	1951
748	5798	1943
749	5806	1935
750	5813	1927
751	5821	1919
752	5828	1911
753	5836	1904
754	5843	1896
755	5850	1888
756	5858	1880
757	5865	1872
758	5873	1865
759	5881	1857
760	5889	1849
761	5896	1841
762	5904	1833
763	5911	1826
764	5919	1818
765	5927	1810
766	5935	1802
767	5942	1795
768	5949	1787
769	5957	1779
770	5964	1771
771	5972	1764
772	5980	1756
773	5987	1748
774	5995	1740
775	6003	1732
776	6010	1724
777	6018	1717
778	6025	1709
779	6032	1701
780	6041	1693
781	6048	1686
782	6056	1678
783	6064	1670
784	6072	1663
785	6080	1655
786	6088	1647
787	6096	1640
788	6105	1632
789	6112	1624
790	6120	1617
791	6127	1609
792	6135	1601
793	6142	1593
794	6150	1585
795	6157	1578
796	6164	1570
797	6172	1562
798	6179	1554
799	6186	1546
800	6194	1538
801	6201	1531
802	6208	1523
803	6216	1515
804	6223	1507
805	6231	1499
806	6239	1492
807	6247	1484
808	6254	1476
809	6262	1468
810	6269	1461
811	6277	1453
812	6284	1445
813	6292	1437
814	6299	1429
815	6306	1422
816	6314	1414
817	6322	1406
818	6329	1398
819	6337	1391
820	6345	1383
821	6353	1375
822	6360	1367
823	6368	1360
824	6376	1352
825	6383	1344
826	6390	1336
827	6398	1329
828	6405	1321
829	6413	1313
830	6421	1305
831	6429	1298
832	6436	1290
833	6443	1282
834	6451	1274
835	6458	1267
836	6466	1259
837	6473	1251
838	6481	1243
839	6488	1235
840	6496	1228
841	6504	1220
842	6511	1212
843	6519	1205
844	6527	1197
845	6534	1189
846	6542	1181
847	6549	1174
848	6557	1166
849	6565	1158
850	6572	1150
851	6580	1143
852	6587	1135
853	6595	1127
854	6603	1119
855	6610	1112
856	6618	1104
857	6625	1096
858	6633	1088
859	6640	1081
860	6648	1073
861	6656	1065
862	6664	1057
863	6671	1050
864	6679	1042
865	6686	1034
866	6694	1026
867	6701	1019
868	6709	1011
869	6717	1003
870	6724	995
871	6732	988
872	6739	980
873	6747	972
874	6755	965
875	6763	957
876	6770	949
877	6778	941
878	6785	934
879	6793	926
880	6800	918
881	6808	910
882	6815	903
883	6823	895
884	6830	887
885	6838	879
886	6845	872
887	6852	864
888	6860	856
889	6867	848
890	6875	841
891	6882	833
892	6890	825
893	6897	817
894	6904	810
895	6912	802
896	6920	794
897	6928	786
898	6935	779
899	6943	771
900	6950	763
901	6958	756
902	6966	748
903	6973	740
904	6981	732
905	6988	725
906	6996	717
907	7004	709
908	7012	701
909	7019	694
910	7027	686
911	7035	678
912	7043	671
913	7051	663
914	7059	655
915	7067	648
916	7075	640
917	7083	632
918	7092	625
919	7100	617
920	7108	609
921	7116	602
922	7124	594
923	7131	586
924	7139	578
925	7146	571
926	7154	563
927	7161	555
928	7169	547
929	7176	540
930	7184	532
931	7191	524
932	7199	516
933	7207	509
934	7214	501
935	7222	493
936	7230	486
937	7237	478
938	7245	470
939	7252	462
940	7260	455
941	7267	447
942	7275	439
943	7282	432
944	7290	424
945	7298	416
946	7306	408
947	7313	401
948	7321	393
949	7330	385
950	7339	378
951	7347	370
952	7355	362
953	7363	355
954	7370	347
955	7378	339
956	7385	331
957	7393	324
958	7400	316
959	7408	308
960	7415	300
961	7423	293
962	7431	285
963	7439	277
964	7446	270
965	7454	262
966	7461	254
967	7469	246
968	7476	239
969	7484	231
970	7491	223
971	7499	216
972	7507	208
973	7515	200
974	7523	192
975	7530	185
976	7538	177
977	7545	169
978	7553	162
979	7560	154
980	7568	146
981	7576	138
982	7583	131
983	7591	123
984	7598	115
985	7606	107
986	7613	100
987	7621	92
988	7628	84
989	7637	77
990	7644	69
991	7652	61
992	7659	53
993	7667	46
994	7674	38
995	7681	30
996	7689	23
997	7696	15
998	7704	7
999	7711	0
