iter	Logloss
0	0.6643309678
1	0.6420018315
2	0.625175891
3	0.6096030188
4	0.5955433303
5	0.5844233721
6	0.57228687
7	0.5618694481
8	0.550951019
9	0.5424486978
10	0.533973054
11	0.526366444
12	0.5199417991
13	0.5119544028
14	0.5040032232
15	0.4973282142
16	0.4922920636
17	0.4879633568
18	0.483470564
19	0.4803285191
20	0.4764685122
21	0.4731337755
22	0.4695764431
23	0.4662799735
24	0.4617037003
25	0.4579657804
26	0.455131703
27	0.4527694856
28	0.4500839764
29	0.4471813227
30	0.4446543998
31	0.4427612563
32	0.4402037019
33	0.4374895344
34	0.4359591497
35	0.4337913102
36	0.4322158641
37	0.430042294
38	0.4284434318
39	0.42691831
40	0.4258774809
41	0.4244567226
42	0.4222795386
43	0.4209992744
44	0.4184567215
45	0.4156383435
46	0.4142097458
47	0.4130700592
48	0.4120807604
49	0.4111903043
50	0.4099110307
51	0.4090095995
52	0.4072606232
53	0.4065134338
54	0.4055982419
55	0.4044168943
56	0.4024061383
57	0.4015236949
58	0.4008103151
59	0.3996832737
60	0.3987674813
61	0.397798434
62	0.3952854155
63	0.3946257335
64	0.3940792785
65	0.3932504449
66	0.3924136837
67	0.3917244084
68	0.3910698864
69	0.3903981783
70	0.3894029758
71	0.3887360541
72	0.3873573726
73	0.3866752637
74	0.3860889389
75	0.3851975243
76	0.3842335443
77	0.3837931105
78	0.3833263498
79	0.3828517061
80	0.3822458682
81	0.3818259345
82	0.3809708134
83	0.3802235209
84	0.3797022204
85	0.3793958701
86	0.3785969524
87	0.3781931239
88	0.3770345276
89	0.3765630964
90	0.3760822984
91	0.3755938397
92	0.3753116634
93	0.3748649372
94	0.3742149801
95	0.3739207564
96	0.3726567208
97	0.3721944373
98	0.3717935108
99	0.3713114397
100	0.371054654
101	0.3704430094
102	0.3700392732
103	0.3696963689
104	0.3693776166
105	0.3690573034
106	0.3686757501
107	0.3683301753
108	0.3680026008
109	0.3677711759
110	0.3671854422
111	0.3667114676
112	0.3661954639
113	0.3653926016
114	0.3650257586
115	0.3647655689
116	0.3643674788
117	0.3640471118
118	0.3638262785
119	0.363257883
120	0.3628620311
121	0.3626070024
122	0.362325164
123	0.3617504919
124	0.3614862665
125	0.3611868472
126	0.3609618499
127	0.3607339372
128	0.3603274401
129	0.3601151737
130	0.3596487848
131	0.3593858278
132	0.3589387012
133	0.3586663345
134	0.3582790447
135	0.3581247886
136	0.3575020361
137	0.3568818109
138	0.3567355578
139	0.3563435153
140	0.3560571764
141	0.3556599598
142	0.3554518757
143	0.3552798546
144	0.3546157463
145	0.3537019965
146	0.3533324275
147	0.3530730461
148	0.3527574999
149	0.3525265339
150	0.3522267532
151	0.3520626933
152	0.3517997267
153	0.3513805292
154	0.3512628116
155	0.3508937187
156	0.3505253792
157	0.3501662284
158	0.3499387656
159	0.3497258565
160	0.3493708881
161	0.3490678777
162	0.3489132681
163	0.3486185721
164	0.3483551422
165	0.3482183321
166	0.3477197174
167	0.347457703
168	0.3468870604
169	0.3465902699
170	0.346387968
171	0.3460216201
172	0.3457053528
173	0.3447342465
174	0.3443913737
175	0.3442116729
176	0.3440062481
177	0.3438052359
178	0.3433914919
179	0.3432079173
180	0.3427377653
181	0.3426304171
182	0.3418974066
183	0.3416448812
184	0.3414214986
185	0.341069278
186	0.3409374667
187	0.3408036319
188	0.3404651871
189	0.3399359327
190	0.3397870705
191	0.3396734821
192	0.3394488283
193	0.33904905
194	0.3387238565
195	0.3385857642
196	0.3383672548
197	0.3381764509
198	0.3379522357
199	0.3378473202
200	0.3376735804
201	0.3375018247
202	0.3373259264
203	0.3370743748
204	0.336983517
205	0.3367881815
206	0.3366305825
207	0.3363341507
208	0.3362017425
209	0.3360816464
210	0.3358121956
211	0.3356076275
212	0.3355279654
213	0.335243159
214	0.3351104995
215	0.3348926989
216	0.3347126188
217	0.3343864167
218	0.3341444936
219	0.3337849446
220	0.3331566339
221	0.3329257247
222	0.3325982519
223	0.332447201
224	0.3322911071
225	0.3321735093
226	0.3319534542
227	0.3317397057
228	0.3313630675
229	0.3307161208
230	0.3304299094
231	0.3302416628
232	0.3300727933
233	0.3299138172
234	0.3295949456
235	0.3294557465
236	0.3293091499
237	0.3292204355
238	0.329077703
239	0.3289660157
240	0.3288320654
241	0.3285974676
242	0.3282841864
243	0.3281644328
244	0.3280376654
245	0.3279444308
246	0.3277679329
247	0.3275368074
248	0.3273757178
249	0.3271873494
250	0.3270119414
251	0.3266359826
252	0.326420321
253	0.3262523623
254	0.3261426251
255	0.3259944622
256	0.3255185076
257	0.324829132
258	0.3247462157
259	0.3245017876
260	0.3243518907
261	0.3240453711
262	0.3239608985
263	0.3234968283
264	0.3232658302
265	0.3230736904
266	0.3229487297
267	0.3225222645
268	0.3223709503
269	0.3221661673
270	0.3220312868
271	0.3216255395
272	0.3213974518
273	0.3212590546
274	0.3211040888
275	0.3210053264
276	0.3208388331
277	0.3206634263
278	0.3201351905
279	0.3197934825
280	0.3196433577
281	0.3194618966
282	0.319241555
283	0.3190452205
284	0.3188485208
285	0.3186285515
286	0.318306397
287	0.3181809412
288	0.3179638772
289	0.3178347909
290	0.3175828794
291	0.3174019134
292	0.3170461759
293	0.3169232549
294	0.3167276555
295	0.3164793963
296	0.3163549989
297	0.3161714121
298	0.3160291352
299	0.3158870091
300	0.3157445231
301	0.3155895535
302	0.3150189119
303	0.3149284522
304	0.314830265
305	0.3147095384
306	0.3145059849
307	0.3143911035
308	0.3142149443
309	0.313940223
310	0.3136721537
311	0.3134221456
312	0.3132099365
313	0.3129598901
314	0.3128315102
315	0.3126569922
316	0.3125419535
317	0.3124359325
318	0.3123014668
319	0.3121089744
320	0.3117849502
321	0.311556706
322	0.3113906054
323	0.3112645384
324	0.311052983
325	0.310941187
326	0.3108023423
327	0.3106410303
328	0.3104290584
329	0.3102184322
330	0.3101394148
331	0.3100081827
332	0.3097739818
333	0.3096258123
334	0.3095287553
335	0.3093535555
336	0.3090916004
337	0.3089571432
338	0.3087783947
339	0.3086286258
340	0.3084281697
341	0.3082016084
342	0.3080993321
343	0.3078367972
344	0.3076689417
345	0.3072869124
346	0.3069553207
347	0.306799566
348	0.3065504679
349	0.3063962217
350	0.3061716163
351	0.3060464397
352	0.3059603254
353	0.3057809658
354	0.305641313
355	0.3053323997
356	0.3051840497
357	0.3049906528
358	0.3047531025
359	0.304655468
360	0.3044746485
361	0.3042323583
362	0.3041283156
363	0.3039479205
364	0.3038221841
365	0.3034938649
366	0.3033280072
367	0.3031635271
368	0.3030748349
369	0.3029459165
370	0.3028140606
371	0.3024829064
372	0.3023001296
373	0.3021358992
374	0.3019921917
375	0.301839841
376	0.3017219476
377	0.3016031018
378	0.3013811374
379	0.3012264546
380	0.301081898
381	0.3008816821
382	0.3006659522
383	0.3005004592
384	0.3002943369
385	0.3001808245
386	0.300059691
387	0.2999604136
388	0.2999017301
389	0.2997802133
390	0.2996675307
391	0.2995969772
392	0.2994329342
393	0.2992751161
394	0.2990777557
395	0.2989933666
396	0.2987600826
397	0.2984957124
398	0.2983283255
399	0.2980244962
400	0.2979134234
401	0.2977976083
402	0.2976564084
403	0.2975185326
404	0.2974198545
405	0.2970323565
406	0.2969150159
407	0.296807075
408	0.2967222877
409	0.2965558115
410	0.2964398075
411	0.2963024314
412	0.2961408932
413	0.2960242228
414	0.2959302582
415	0.2957593315
416	0.2956323871
417	0.2954731388
418	0.2953958776
419	0.2952299325
420	0.2951179161
421	0.2949708451
422	0.2948862133
423	0.2947392327
424	0.2946110459
425	0.2944252082
426	0.2942330113
427	0.2940961975
428	0.2938645537
429	0.2937507301
430	0.2936429141
431	0.2935559034
432	0.293472832
433	0.2933058975
434	0.2930340882
435	0.292878552
436	0.2925695114
437	0.2924363989
438	0.2923591613
439	0.2922501653
440	0.2921109703
441	0.29203848
442	0.2919242411
443	0.291806387
444	0.2916840138
445	0.2915262709
446	0.2914499296
447	0.2911261149
448	0.2909391496
449	0.2907365219
450	0.2906161723
451	0.2905371369
452	0.2904533709
453	0.2902978392
454	0.2901913466
455	0.2900736144
456	0.2897949567
457	0.289676205
458	0.2895874715
459	0.2894749768
460	0.2893022127
461	0.2891655149
462	0.2890669214
463	0.2889478289
464	0.2887938353
465	0.2887170499
466	0.2886197303
467	0.2884768077
468	0.288216617
469	0.288167991
470	0.2879392635
471	0.2878541146
472	0.2877506392
473	0.2876044079
474	0.2875315902
475	0.2872955814
476	0.2872027485
477	0.2870264988
478	0.2869172027
479	0.2867902851
480	0.2867072367
481	0.286460511
482	0.2863942914
483	0.2862909084
484	0.2862153142
485	0.2861241536
486	0.2860267798
487	0.2859613343
488	0.285893432
489	0.2858139151
490	0.2857495984
491	0.2856413453
492	0.2855508045
493	0.2854352754
